,Air Power,Cadence,Form Power,Ground Time,Leg Spring Stiffness,Power,Vertical Oscillation
15166,1.0,82.0,105.0,300.0,13.625,342.0,6.625
15167,1.0,82.0,105.0,300.0,13.625,341.0,6.625
15168,1.0,81.0,105.0,300.0,13.625,340.0,6.75
15169,1.0,81.0,105.0,296.0,13.875,340.0,6.75
15170,1.0,82.0,105.0,296.0,13.875,337.0,6.75
15171,1.0,81.0,105.0,298.0,13.75,338.0,6.875
15172,1.0,81.0,105.0,298.0,13.75,338.0,6.875
15173,1.0,81.0,105.0,298.0,13.875,337.0,7.0
15174,1.0,81.0,106.0,294.0,14.0,338.0,7.0
15175,1.0,81.0,106.0,292.0,14.125,342.0,6.875
15176,1.0,81.0,106.0,294.0,13.875,346.0,6.875
15177,1.0,81.0,106.0,294.0,13.875,349.0,6.875
15178,0.0,82.0,106.0,292.0,14.0,349.0,6.875
15179,1.0,81.0,106.0,290.0,14.125,352.0,6.75
15180,1.0,82.0,106.0,290.0,14.0,352.0,6.75
15181,0.0,82.0,106.0,290.0,14.125,349.0,6.75
15182,0.0,82.0,106.0,292.0,14.125,345.0,6.75
15183,0.0,82.0,106.0,292.0,14.0,345.0,6.75
15184,0.0,82.0,106.0,292.0,14.125,336.0,6.625
15185,0.0,82.0,106.0,292.0,14.125,333.0,6.625
15186,0.0,82.0,105.0,292.0,14.125,334.0,6.75
15187,1.0,82.0,105.0,290.0,14.125,336.0,6.625
15188,1.0,82.0,105.0,290.0,14.125,335.0,6.625
15189,1.0,82.0,105.0,288.0,14.125,336.0,6.625
15190,1.0,82.0,105.0,288.0,14.125,336.0,6.625
15191,1.0,83.0,105.0,288.0,14.125,339.0,6.625
15192,1.0,83.0,105.0,286.0,14.25,337.0,6.75
15193,0.0,82.0,105.0,286.0,14.25,334.0,6.75
15194,0.0,82.0,105.0,286.0,14.125,331.0,6.75
15195,0.0,82.0,105.0,288.0,14.125,331.0,6.75
15196,0.0,82.0,106.0,288.0,14.125,332.0,6.75
15197,0.0,82.0,106.0,288.0,14.125,332.0,6.875
15198,0.0,82.0,106.0,288.0,14.125,333.0,6.875
15199,0.0,82.0,107.0,288.0,14.0,336.0,6.75
15200,0.0,82.0,107.0,286.0,14.0,336.0,6.75
15201,0.0,82.0,107.0,288.0,13.875,337.0,6.875
15202,0.0,81.0,107.0,288.0,13.875,336.0,7.0
15203,0.0,81.0,107.0,288.0,13.75,337.0,7.0
15204,0.0,81.0,107.0,288.0,13.75,336.0,7.0
15205,0.0,81.0,107.0,290.0,13.875,335.0,7.0
15206,0.0,81.0,108.0,290.0,13.75,335.0,7.0
15207,1.0,81.0,108.0,290.0,13.75,335.0,7.125
15208,1.0,81.0,108.0,290.0,13.75,335.0,7.125
15209,1.0,81.0,108.0,290.0,13.875,336.0,7.125
15210,1.0,81.0,108.0,288.0,13.875,337.0,7.125
15211,1.0,81.0,108.0,286.0,14.0,337.0,7.125
15212,1.0,81.0,108.0,284.0,14.125,335.0,7.125
15213,1.0,82.0,108.0,284.0,13.875,335.0,7.125
15214,2.0,82.0,108.0,280.0,14.0,336.0,7.125
15215,1.0,82.0,109.0,278.0,14.0,340.0,7.0
15216,1.0,82.0,109.0,276.0,14.0,340.0,7.0
15217,1.0,82.0,109.0,276.0,14.0,342.0,7.125
15218,1.0,83.0,109.0,276.0,14.0,342.0,7.125
15219,1.0,83.0,109.0,274.0,14.0,346.0,7.25
15220,1.0,83.0,109.0,274.0,14.125,345.0,7.375
15221,1.0,82.0,110.0,274.0,14.25,341.0,7.375
15222,1.0,82.0,110.0,276.0,14.25,338.0,7.375
15223,0.0,82.0,111.0,276.0,14.125,338.0,7.375
15224,0.0,82.0,111.0,276.0,14.125,337.0,7.5
15225,0.0,82.0,111.0,276.0,14.125,337.0,7.5
15226,0.0,81.0,112.0,276.0,14.0,330.0,7.375
15227,0.0,81.0,112.0,280.0,14.0,328.0,7.375
15228,1.0,82.0,112.0,280.0,13.875,323.0,7.5
15229,1.0,81.0,112.0,280.0,13.875,319.0,7.5
15230,0.0,81.0,112.0,282.0,13.875,316.0,7.375
15231,1.0,81.0,112.0,282.0,13.75,315.0,7.375
15232,0.0,81.0,112.0,284.0,13.75,316.0,7.375
15233,0.0,81.0,112.0,284.0,13.75,317.0,7.375
15234,0.0,81.0,111.0,284.0,13.75,315.0,7.25
15235,0.0,81.0,111.0,286.0,13.625,314.0,7.25
15236,0.0,81.0,111.0,286.0,13.625,314.0,7.25
15237,0.0,81.0,111.0,286.0,13.625,314.0,7.5
15238,0.0,81.0,111.0,286.0,13.625,315.0,7.5
15239,0.0,81.0,111.0,286.0,13.625,314.0,7.5
15240,0.0,81.0,111.0,286.0,13.5,315.0,7.375
15241,1.0,81.0,111.0,288.0,13.5,316.0,7.375
15242,0.0,80.0,111.0,286.0,13.375,317.0,7.5
15243,0.0,80.0,111.0,286.0,13.375,317.0,7.375
15244,0.0,81.0,111.0,286.0,13.375,318.0,7.25
15245,1.0,81.0,111.0,284.0,13.5,318.0,7.25
15246,1.0,81.0,111.0,284.0,13.375,322.0,7.25
15247,0.0,81.0,111.0,282.0,13.5,320.0,7.375
15248,1.0,80.0,111.0,282.0,13.5,319.0,7.375
15249,1.0,81.0,111.0,280.0,13.625,320.0,7.375
15250,1.0,81.0,111.0,280.0,13.625,320.0,7.5
15251,2.0,81.0,111.0,280.0,13.625,319.0,7.5
15252,1.0,81.0,110.0,280.0,13.625,320.0,7.625
15253,1.0,81.0,111.0,280.0,13.625,318.0,7.75
15254,1.0,81.0,112.0,278.0,13.75,319.0,7.75
15255,1.0,81.0,113.0,276.0,13.875,321.0,7.75
15256,1.0,81.0,113.0,276.0,13.875,321.0,7.75
15257,1.0,80.0,113.0,276.0,13.875,317.0,7.75
15258,1.0,80.0,114.0,276.0,14.0,317.0,7.75
15259,1.0,80.0,114.0,272.0,14.0,323.0,7.75
15260,1.0,81.0,114.0,272.0,14.0,326.0,7.625
15261,1.0,82.0,114.0,270.0,14.0,328.0,7.875
15262,0.0,82.0,114.0,268.0,14.0,331.0,7.875
15263,0.0,81.0,115.0,268.0,13.875,331.0,7.625
15264,0.0,81.0,115.0,270.0,13.875,333.0,7.625
15265,0.0,81.0,115.0,270.0,13.5,335.0,7.5
15266,0.0,81.0,115.0,270.0,13.5,335.0,7.5
15267,1.0,81.0,114.0,276.0,13.375,329.0,7.625
15268,1.0,81.0,114.0,276.0,13.375,326.0,7.5
15269,1.0,81.0,114.0,280.0,13.375,324.0,7.5
15270,1.0,81.0,114.0,280.0,13.25,324.0,7.5
15271,1.0,81.0,113.0,278.0,13.5,323.0,7.5
15272,1.0,81.0,113.0,278.0,13.5,323.0,7.5
15273,1.0,81.0,113.0,278.0,13.5,325.0,7.5
15274,1.0,81.0,112.0,278.0,13.375,329.0,7.375
15275,1.0,81.0,112.0,278.0,13.375,337.0,7.375
15276,1.0,81.0,112.0,276.0,13.375,341.0,7.375
15277,1.0,81.0,112.0,278.0,13.375,342.0,7.25
15278,1.0,81.0,112.0,278.0,13.125,345.0,7.25
15279,0.0,81.0,112.0,282.0,13.125,349.0,7.25
15280,0.0,81.0,111.0,282.0,13.25,351.0,7.25
15281,0.0,81.0,111.0,284.0,13.25,350.0,7.25
15282,0.0,81.0,111.0,284.0,13.375,350.0,7.25
15283,0.0,81.0,111.0,284.0,13.5,349.0,7.125
15284,1.0,82.0,110.0,282.0,13.5,350.0,7.125
15285,0.0,82.0,110.0,280.0,13.625,355.0,7.125
